Date,WD,value
4/25/11,20300,A
4/26/11,25800,A:e
4/27/11,21700,A
4/28/11,37000,A:e
4/29/11,61700,A
4/30/11,63300,A
5/1/11,30900,A
5/2/11,21700,A
5/3/11,18400,A
5/4/11,20700,A
5/5/11,19500,A
5/6/11,32000,A:e
5/7/11,25500,A
5/8/11,20700,A
5/9/11,20600,A
5/10/11,18800,A
5/11/11,17700,A
5/12/11,14900,A:e
5/13/11,11900,A
5/14/11,20400,A:e
5/15/11,26000,A:e
5/16/11,25200,A
5/17/11,24400,A
5/18/11,28700,A
5/19/11,38400,A
5/20/11,38500,A
5/21/11,29900,A
5/22/11,23600,A
5/23/11,19800,A
5/24/11,18200,A
5/25/11,15900,A
5/26/11,14800,A
5/27/11,14200,A
5/28/11,17800,A
5/29/11,23800,A
5/30/11,16900,A
5/31/11,13600,A
6/1/11,9500,A
6/2/11,11000,A
6/3/11,8210,A:e
6/4/11,7440,A:e
6/5/11,7110,A:e
6/6/11,7300,A:e
6/7/11,7040,A:e
6/8/11,7370,A:e
6/9/11,7280,A:e
6/10/11,6030,A:e
6/11/11,5620,A:e
6/12/11,6100,A:e
6/13/11,5900,A:e
6/14/11,5410,A:e
6/15/11,5260,A:e
6/16/11,4740,A:e
6/17/11,4670,A:e
6/18/11,4270,A:e
6/19/11,4410,A:e
6/20/11,9400,A:e
6/21/11,11900,A:e
6/22/11,9260,A:e
6/23/11,7930,A:e
6/24/11,8170,A:e
6/25/11,6790,A:e
6/26/11,5970,A:e
6/27/11,5940,A:e
6/28/11,5530,A:e
6/29/11,5570,A:e
6/30/11,5330,A:e
7/1/11,5160,A:e
7/2/11,4330,A:e
7/3/11,3800,A:e
7/4/11,3820,A:e
7/5/11,3920,A:e
7/6/11,4820,A:e
7/7/11,6060,A:e
7/8/11,6240,A:e
7/9/11,6730,A:e
7/10/11,7140,A:e
7/11/11,6200,A:e
7/12/11,5500,A:e
7/13/11,4580,A:e
7/14/11,3710,A:e
7/15/11,3470,A:e
